time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p2	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
0.999901	__proteinX_rbs	0.0	0.0	0.0
0.999901	__proteinY_rbs	0.0	0.0	0.0
0.999901	__proteinZ_rbs	0.0	0.0	0.0
0.999901	__ribosome	98.0	0.0	0.0
0.999901	__rnase_site	0.0	0.0	0.0
0.999901	__rnase_site_ext	1.0	0.0	0.0
0.999901	p1	0.0	0.0	0.0
0.999901	p2	1.0	0.0	0.0
0.999901	proteinX	0.0	2.0	1.0
0.999901	rnapol	0.0	0.0	0.0
2.0050619999999997	__proteinX_rbs	2.0	0.0	0.0
2.0050619999999997	__proteinY_rbs	0.0	0.0	0.0
2.0050619999999997	__proteinZ_rbs	0.0	0.0	0.0
2.0050619999999997	__ribosome	96.0	0.0	0.0
2.0050619999999997	__rnase_site	0.0	0.0	0.0
2.0050619999999997	__rnase_site_ext	2.0	0.0	0.0
2.0050619999999997	p1	1.0	0.0	0.0
2.0050619999999997	p2	1.0	0.0	0.0
2.0050619999999997	proteinX	0.0	4.0	1.0
2.0050619999999997	rnapol	0.0	0.0	0.0
2.999391	__proteinX_rbs	2.0	0.0	0.0
2.999391	__proteinY_rbs	0.0	0.0	0.0
2.999391	__proteinZ_rbs	0.0	0.0	0.0
2.999391	__ribosome	92.0	0.0	0.0
2.999391	__rnase_site	0.0	0.0	0.0
2.999391	__rnase_site_ext	3.0	0.0	0.0
2.999391	p1	1.0	0.0	0.0
2.999391	p2	1.0	0.0	0.0
2.999391	proteinX	0.0	4.0	2.0
2.999391	rnapol	0.0	0.0	0.0
