time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p2	1.0	0.0	0.0
0	r2	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	90.0	0.0	0.0
1	__rnase_site_ext	0.5	0.0	0.0
1	p0	0.4	0.0	0.0
1	p2	0.65	0.0	0.0
1	r2	0.0	0.0	0.0
1	rnapol	2.65	0.0	0.0
2	__protein1_rbs	0.2	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.15	0.0	0.0
2	__ribosome	109.85	0.0	0.0
2	__rnase_site_ext	1.15	0.0	0.0
2	p0	0.7	0.0	0.0
2	p2	0.7	0.0	0.0
2	protein1	0.0	0.25	0.05
2	protein3	0.0	0.25	0.1
2	r2	0.0	0.0	0.0
2	rnapol	2.9	0.0	0.0
3	__protein1_rbs	0.15	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.1	0.0	0.0
3	__ribosome	99.25	0.0	0.0
3	__rnase_site_ext	1.75	0.0	0.0
3	p0	0.8	0.0	0.0
3	p2	0.7	0.0	0.0
3	protein1	0.0	0.45	0.35
3	protein3	0.0	0.4	0.4
3	r2	0.0	0.0	0.0
3	rnapol	2.1	0.0	0.0
4	__protein1_rbs	0.5	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.15	0.0	0.0
4	__ribosome	98.45	0.0	0.0
4	__rnase_site_ext	2.1	0.0	0.0
4	p0	0.7	0.0	0.0
4	p2	0.7	0.0	0.0
4	protein1	0.0	0.85	0.7
4	protein3	0.0	0.7	0.675
4	r2	0.0	0.0	0.0
4	rnapol	1.5	0.0	0.0
5	__protein1_rbs	0.25	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.2	0.0	0.0
5	__ribosome	96.95	0.0	0.0
5	__rnase_site_ext	2.55	0.0	0.0
5	p0	0.85	0.0	0.0
5	p2	0.9	0.0	0.0
5	protein1	0.0	1.05	1.3
5	protein3	0.0	0.95	1.275
5	r2	0.0	0.0	0.0
5	rnapol	1.25	0.0	0.0
6	__protein1_rbs	0.4	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.4	0.0	0.0
6	__ribosome	95.45	0.0	0.0
6	__rnase_site_ext	2.75	0.0	0.0
6	p0	0.85	0.0	0.0
6	p2	0.9	0.0	0.0
6	protein1	0.0	1.25	1.975
6	protein3	0.0	1.2	1.525
6	r2	0.0	0.0	0.0
6	rnapol	0.9	0.0	0.0
7	__protein1_rbs	0.25	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.7	0.0	0.0
7	__ribosome	93.85	0.0	0.0
7	__rnase_site_ext	3.05	0.0	0.0
7	p0	0.95	0.0	0.0
7	p2	0.85	0.0	0.0
7	protein1	0.05	1.4	2.51666665
7	protein3	0.05	1.35	1.7
7	r2	0.0	0.0	0.0
7	rnapol	0.65	0.0	0.0
8	__protein1_rbs	0.75	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.85	0.0	0.0
8	__ribosome	92.95	0.0	0.0
8	__rnase_site_ext	3.25	0.0	0.0
8	p0	1.0	0.0	0.0
8	p2	0.9	0.0	0.0
8	protein1	0.3	1.5	2.76666665
