time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p1	1.0	0.0	0.0
0	r0	0.0	0.0	0.0
0	r1	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.3333333333333333	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	100.0	0.0	0.0
1	__rnase_site_ext	1.0	0.0	0.0
1	p0	0.3333333333333333	0.0	0.0
1	p1	1.0	0.0	0.0
1	protein1	0.0	0.3333333333333333	0.0
1	r0	1.0	0.0	0.0
1	r1	0.0	0.0	0.0
1	rnapol	2.333333333333333	0.0	0.0
2	__protein1_rbs	1.6666666666666667	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	99.0	0.0	0.0
2	__rnase_site_ext	2.333333333333333	0.0	0.0
2	p0	1.0	0.0	0.0
2	p1	1.0	0.0	0.0
2	protein1	0.0	2.0	0.5
2	r0	2.333333333333333	0.0	0.0
2	r1	0.0	0.0	0.0
2	rnapol	1.0	0.0	0.0
3	__protein1_rbs	1.3333333333333333	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	95.66666666666669	0.0	0.0
3	__rnase_site_ext	3.333333333333333	0.0	0.0
3	p0	0.6666666666666666	0.0	0.0
3	p1	1.0	0.0	0.0
3	protein1	0.0	3.333333333333333	1.3055556666666666
3	r0	3.333333333333333	0.0	0.0
3	r1	0.0	0.0	0.0
3	rnapol	0.3333333333333333	0.0	0.0
4	__protein1_rbs	2.0	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	94.0	0.0	0.0
4	__rnase_site_ext	4.0	0.0	0.0
4	p0	1.0	0.0	0.0
4	p1	0.3333333333333333	0.0	0.0
4	protein1	0.0	3.6666666666666665	1.7222223333333335
4	r0	4.0	0.0	0.0
4	r1	0.0	0.0	0.0
4	rnapol	0.0	0.0	0.0
5	__protein1_rbs	2.0	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	91.0	0.0	0.0
5	__rnase_site_ext	4.333333333333333	0.0	0.0
5	p0	1.0	0.0	0.0
5	p1	0.3333333333333333	0.0	0.0
5	protein1	0.3333333333333333	4.0	2.25
5	r0	4.333333333333333	0.0	0.0
5	r1	0.0	0.0	0.0
5	rnapol	1.0	0.0	0.0
6	__protein1_rbs	3.0	0.0	0.0
6	__protein2_rbs	0.3333333333333333	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	89.33333333333331	0.0	0.0
6	__rnase_site_ext	4.0	0.0	0.0
6	p0	0.6666666666666666	0.0	0.0
6	p1	1.0	0.0	0.0
6	protein1	3.0	4.333333333333333	2.45
6	protein2	0.0	0.6666666666666666	0.3333333333333333
6	r0	4.0	0.0	0.0
6	r1	0.6666666666666666	0.0	0.0
6	rnapol	1.6666666666666667	0.0	0.0
7	__protein1_rbs	2.0	0.0	0.0
7	__protein2_rbs	1.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	86.0	0.0	0.0
7	__rnase_site_ext	5.0	0.0	0.0
7	p0	1.0	0.0	0.0
7	p1	1.0	0.0	0.0
7	protein1	5.0	5.0	2.75
7	protein2	0.0	1.0	0.8333333333333334
