time	species	transcript
1	protein1	0.15
1	protein2	0.1
1	protein3	0.06
2	protein1	0.3
2	protein2	0.2
2	protein3	0.12
3	protein1	0.44999999999999996
3	protein2	0.30000000000000004
3	protein3	0.18
4	protein1	0.6
4	protein2	0.4
4	protein3	0.24
5	protein1	0.75
5	protein2	0.5
5	protein3	0.3
6	protein1	0.8999999999999999
6	protein2	0.6000000000000001
6	protein3	0.36
7	protein1	1.05
7	protein2	0.7000000000000001
7	protein3	0.42
8	protein1	1.2
8	protein2	0.8
8	protein3	0.48
9	protein1	1.3499999999999999
9	protein2	0.9
9	protein3	0.54
10	protein1	1.5
10	protein2	1.0
10	protein3	0.6
11	protein1	1.65
11	protein2	1.1
11	protein3	0.6599999999999999
12	protein1	1.7999999999999998
12	protein2	1.2000000000000002
12	protein3	0.72
13	protein1	1.95
13	protein2	1.3
13	protein3	0.78
14	protein1	2.1
14	protein2	1.4000000000000001
14	protein3	0.84
15	protein1	2.25
15	protein2	1.5
15	protein3	0.8999999999999999
16	protein1	2.4
16	protein2	1.6
16	protein3	0.96
17	protein1	2.55
17	protein2	1.7000000000000002
17	protein3	1.02
18	protein1	2.6999999999999997
18	protein2	1.8
18	protein3	1.08
19	protein1	2.85
19	protein2	1.9000000000000001
19	protein3	1.14
20	protein1	3.0
20	protein2	2.0
20	protein3	1.2
21	protein1	3.15
21	protein2	2.1
21	protein3	1.26
22	protein1	3.3
22	protein2	2.2
22	protein3	1.3199999999999998
23	protein1	3.4499999999999997
23	protein2	2.3000000000000003
23	protein3	1.38
24	protein1	3.5999999999999996
24	protein2	2.4000000000000004
24	protein3	1.44
25	protein1	3.75
25	protein2	2.5
25	protein3	1.5
26	protein1	3.9
26	protein2	2.6
26	protein3	1.56
27	protein1	4.05
27	protein2	2.7
27	protein3	1.6199999999999999
28	protein1	4.2
28	protein2	2.8000000000000003
28	protein3	1.68
29	protein1	4.35
29	protein2	2.9000000000000004
29	protein3	1.74
30	protein1	4.5
30	protein2	3.0
30	protein3	1.7999999999999998
31	protein1	4.6499999999999995
31	protein2	3.1
31	protein3	1.8599999999999999
32	protein1	4.8
32	protein2	3.2
32	protein3	1.92
33	protein1	4.95
33	protein2	3.3000000000000003
33	protein3	1.98
34	protein1	5.1
34	protein2	3.4000000000000004
34	protein3	2.04
35	protein1	5.25
35	protein2	3.5
35	protein3	2.1
36	protein1	5.3999999999999995
36	protein2	3.6
36	protein3	2.16
37	protein1	5.55
37	protein2	3.7
37	protein3	2.2199999999999998
38	protein1	5.7
38	protein2	3.8000000000000003
38	protein3	2.28
39	protein1	5.85
39	protein2	3.9000000000000004
39	protein3	2.34
40	protein1	6.0
40	protein2	4.0
40	protein3	2.4
41	protein1	6.1499999999999995
41	protein2	4.1000000000000005
41	protein3	2.46
42	protein1	6.3
42	protein2	4.2
42	protein3	2.52
43	protein1	6.45
43	protein2	4.3
43	protein3	2.58
44	protein1	6.6
44	protein2	4.4
44	protein3	2.6399999999999997
45	protein1	6.75
45	protein2	4.5
45	protein3	2.6999999999999997
46	protein1	6.8999999999999995
46	protein2	4.6000000000000005
46	protein3	2.76
47	protein1	7.05
47	protein2	4.7
47	protein3	2.82
48	protein1	7.199999999999999
48	protein2	4.800000000000001
48	protein3	2.88
49	protein1	7.35
49	protein2	4.9
49	protein3	2.94
50	protein1	7.5
50	protein2	5.0
50	protein3	3.0
51	protein1	7.6499999999999995
51	protein2	5.1000000000000005
51	protein3	3.06
52	protein1	7.8
52	protein2	5.2
52	protein3	3.12
53	protein1	7.949999999999999
53	protein2	5.300000000000001
53	protein3	3.1799999999999997
54	protein1	8.1
54	protein2	5.4
54	protein3	3.2399999999999998
55	protein1	8.25
55	protein2	5.5
55	protein3	3.3
56	protein1	8.4
56	protein2	5.6000000000000005
56	protein3	3.36
57	protein1	8.549999999999999
57	protein2	5.7
