time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p2	1.0	0.0	0.0
0	r0	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	100.0	0.0	0.0
1	__rnase_site_ext	0.95	0.0	0.0
1	p0	0.2	0.0	0.0
1	p2	0.95	0.0	0.0
1	r0	0.2	0.0	0.0
1	rnapol	2.8	0.0	0.0
2	__protein1_rbs	0.1	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	99.85	0.0	0.0
2	__rnase_site_ext	2.0	0.0	0.0
2	p0	0.15	0.0	0.0
2	p2	0.85	0.0	0.0
2	protein1	0.0	0.25	0.15
2	r0	1.0	0.0	0.0
2	rnapol	1.8	0.0	0.0
3	__protein1_rbs	0.4	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.15	0.0	0.0
3	__ribosome	99.15	0.0	0.0
3	__rnase_site_ext	2.65	0.0	0.0
3	p0	0.55	0.0	0.0
3	p2	0.9	0.0	0.0
3	protein1	0.0	1.05	0.725
3	protein3	0.0	0.2	0.05
3	r0	1.8	0.0	0.0
3	rnapol	1.2	0.0	0.0
4	__protein1_rbs	0.7	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.05	0.0	0.0
4	__ribosome	97.75	0.0	0.0
4	__rnase_site_ext	3.05	0.0	0.0
4	p0	0.75	0.0	0.0
4	p2	1.0	0.0	0.0
4	protein1	0.0	1.85	1.06666665
4	protein3	0.0	0.35	0.3
4	r0	2.3	0.0	0.0
4	rnapol	0.85	0.0	0.0
5	__protein1_rbs	1.15	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.15	0.0	0.0
5	__ribosome	96.15	0.0	0.0
5	__rnase_site_ext	3.35	0.0	0.0
5	p0	0.8	0.0	0.0
5	p2	1.0	0.0	0.0
5	protein1	0.0	2.45	1.44166665
5	protein3	0.0	0.4	0.55
5	r0	2.7	0.0	0.0
5	rnapol	0.5	0.0	0.0
6	__protein1_rbs	0.9	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.2	0.0	0.0
6	__ribosome	94.0	0.0	0.0
6	__rnase_site_ext	3.5	0.0	0.0
6	p0	0.85	0.0	0.0
6	p2	1.0	0.0	0.0
6	protein1	0.0	2.7	2.0208333
6	protein3	0.0	0.45	0.8
6	r0	2.8	0.0	0.0
6	rnapol	0.3	0.0	0.0
7	__protein1_rbs	0.8	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.2	0.0	0.0
7	__ribosome	92.2	0.0	0.0
7	__rnase_site_ext	3.65	0.0	0.0
7	p0	0.85	0.0	0.0
7	p2	1.0	0.0	0.0
7	protein1	0.25	2.75	2.6666667
7	protein3	0.0	0.5	1.05
7	r0	2.9	0.0	0.0
7	rnapol	0.15	0.0	0.0
8	__protein1_rbs	1.0	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.05	0.0	0.0
8	__ribosome	90.65	0.0	0.0
8	__rnase_site_ext	3.75	0.0	0.0
8	p0	0.85	0.0	0.0
8	p2	0.95	0.0	0.0
8	protein1	0.85	2.9	2.8083333500000003
8	protein2	0.0	0.05	0.05
