time	species	transcript
1	proteinX	0.3
1	proteinY	0.4
1	proteinZ	0.2
2	proteinX	0.6
2	proteinY	0.8
2	proteinZ	0.4
3	proteinX	0.8999999999999999
3	proteinY	1.2000000000000002
3	proteinZ	0.6000000000000001
4	proteinX	1.2
4	proteinY	1.6
4	proteinZ	0.8
5	proteinX	1.5
5	proteinY	2.0
5	proteinZ	1.0
6	proteinX	1.7999999999999998
6	proteinY	2.4000000000000004
6	proteinZ	1.2000000000000002
7	proteinX	2.1
7	proteinY	2.8000000000000003
7	proteinZ	1.4000000000000001
8	proteinX	2.4
8	proteinY	3.2
8	proteinZ	1.6
9	proteinX	2.6999999999999997
9	proteinY	3.6
9	proteinZ	1.8
10	proteinX	3.0
10	proteinY	4.0
10	proteinZ	2.0
11	proteinX	3.3
11	proteinY	4.4
11	proteinZ	2.2
12	proteinX	3.5999999999999996
12	proteinY	4.800000000000001
12	proteinZ	2.4000000000000004
13	proteinX	3.9
13	proteinY	5.2
13	proteinZ	2.6
14	proteinX	4.2
14	proteinY	5.6000000000000005
14	proteinZ	2.8000000000000003
15	proteinX	4.5
15	proteinY	6.0
15	proteinZ	3.0
16	proteinX	4.8
16	proteinY	6.4
16	proteinZ	3.2
17	proteinX	5.1
17	proteinY	6.800000000000001
17	proteinZ	3.4000000000000004
18	proteinX	5.3999999999999995
18	proteinY	7.2
18	proteinZ	3.6
19	proteinX	5.7
19	proteinY	7.6000000000000005
19	proteinZ	3.8000000000000003
20	proteinX	6.0
20	proteinY	8.0
20	proteinZ	4.0
21	proteinX	6.3
21	proteinY	8.4
21	proteinZ	4.2
22	proteinX	6.6
22	proteinY	8.8
22	proteinZ	4.4
23	proteinX	6.8999999999999995
23	proteinY	9.200000000000001
23	proteinZ	4.6000000000000005
24	proteinX	7.199999999999999
24	proteinY	9.600000000000001
24	proteinZ	4.800000000000001
25	proteinX	7.5
25	proteinY	10.0
25	proteinZ	5.0
26	proteinX	7.8
26	proteinY	10.4
26	proteinZ	5.2
27	proteinX	8.1
27	proteinY	10.8
27	proteinZ	5.4
28	proteinX	8.4
28	proteinY	11.200000000000001
28	proteinZ	5.6000000000000005
29	proteinX	8.7
29	proteinY	11.600000000000001
29	proteinZ	5.800000000000001
30	proteinX	9.0
30	proteinY	12.0
30	proteinZ	6.0
31	proteinX	9.299999999999999
31	proteinY	12.4
31	proteinZ	6.2
32	proteinX	9.6
32	proteinY	12.8
32	proteinZ	6.4
33	proteinX	9.9
33	proteinY	13.200000000000001
33	proteinZ	6.6000000000000005
34	proteinX	10.2
34	proteinY	13.600000000000001
34	proteinZ	6.800000000000001
35	proteinX	10.5
35	proteinY	14.0
35	proteinZ	7.0
36	proteinX	10.799999999999999
36	proteinY	14.4
36	proteinZ	7.2
37	proteinX	11.1
37	proteinY	14.8
37	proteinZ	7.4
38	proteinX	11.4
38	proteinY	15.200000000000001
38	proteinZ	7.6000000000000005
39	proteinX	11.7
39	proteinY	15.600000000000001
39	proteinZ	7.800000000000001
40	proteinX	12.0
40	proteinY	16.0
40	proteinZ	8.0
41	proteinX	12.299999999999999
41	proteinY	16.400000000000002
41	proteinZ	8.200000000000001
42	proteinX	12.6
42	proteinY	16.8
42	proteinZ	8.4
43	proteinX	12.9
43	proteinY	17.2
43	proteinZ	8.6
44	proteinX	13.2
44	proteinY	17.6
44	proteinZ	8.8
45	proteinX	13.5
45	proteinY	18.0
