time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p1	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	99.0	0.0	0.0
1	__rnase_site_ext	1.0	0.0	0.0
1	p1	1.0	0.0	0.0
1	protein1	0.0	1.0	1.0
1	rnapol	3.0	0.0	0.0
2	__protein1_rbs	1.0	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	98.0	0.0	0.0
2	__rnase_site_ext	1.0	0.0	0.0
2	p1	1.0	0.0	0.0
2	protein1	0.0	1.0	2.0
2	rnapol	3.0	0.0	0.0
3	__protein1_rbs	0.0	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	97.0	0.0	0.0
3	__rnase_site_ext	1.0	0.0	0.0
3	p1	1.0	0.0	0.0
3	protein1	0.0	1.0	3.0
3	rnapol	3.0	0.0	0.0
4	__protein1_rbs	0.0	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	98.0	0.0	0.0
4	__rnase_site_ext	0.0	0.0	0.0
4	p1	1.0	0.0	0.0
4	protein1	1.0	0.0	inf
4	rnapol	3.0	0.0	0.0
5	__protein1_rbs	0.0	0.0	0.0
5	__protein2_rbs	1.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	99.0	0.0	0.0
5	__rnase_site_ext	0.0	0.0	0.0
5	p1	1.0	0.0	0.0
5	protein1	2.0	0.0	inf
5	protein2	0.0	1.0	0.0
5	rnapol	3.0	0.0	0.0
6	__protein1_rbs	0.0	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	98.0	0.0	0.0
6	__rnase_site_ext	0.0	0.0	0.0
6	p1	1.0	0.0	0.0
6	protein1	3.0	0.0	
6	protein2	0.0	1.0	2.0
6	rnapol	3.0	0.0	0.0
7	__protein1_rbs	0.0	0.0	0.0
7	__protein2_rbs	1.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	98.0	0.0	0.0
7	__rnase_site_ext	0.0	0.0	0.0
7	p1	0.0	0.0	0.0
7	protein1	3.0	0.0	
7	protein2	0.0	1.0	2.0
7	rnapol	2.0	0.0	0.0
8	__protein1_rbs	0.0	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	1.0	0.0	0.0
8	__ribosome	95.0	0.0	0.0
8	__rnase_site_ext	0.0	0.0	0.0
8	p1	1.0	0.0	0.0
8	protein1	3.0	1.0	1.0
8	protein2	0.0	1.0	4.0
8	protein3	0.0	1.0	0.0
8	rnapol	2.0	0.0	0.0
9	__protein1_rbs	2.0	0.0	0.0
9	__protein2_rbs	0.0	0.0	0.0
9	__protein3_rbs	1.0	0.0	0.0
9	__ribosome	95.0	0.0	0.0
9	__rnase_site_ext	2.0	0.0	0.0
9	p1	0.0	0.0	0.0
9	protein1	3.0	2.0	0.5
9	protein2	1.0	1.0	4.0
9	protein3	0.0	1.0	0.0
9	rnapol	0.0	0.0	0.0
10	__protein1_rbs	1.0	0.0	0.0
10	__protein2_rbs	0.0	0.0	0.0
10	__protein3_rbs	0.0	0.0	0.0
10	__ribosome	88.0	0.0	0.0
