time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p1	1.0	0.0	0.0
0	r1	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	45.0	0.0	0.0
1	__rnase_site_ext	0.35	0.0	0.0
1	p0	0.2	0.0	0.0
1	p1	0.45	0.0	0.0
1	r1	0.0	0.0	0.0
1	rnapol	1.35	0.0	0.0
2	__protein1_rbs	0.1	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	84.95	0.0	0.0
2	__rnase_site_ext	0.55	0.0	0.0
2	p0	0.35	0.0	0.0
2	p1	0.8	0.0	0.0
2	protein1	0.0	0.15	0.05
2	r1	0.0	0.0	0.0
2	rnapol	2.4	0.0	0.0
3	__protein1_rbs	0.25	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	124.8	0.0	0.0
3	__rnase_site_ext	0.9	0.0	0.0
3	p0	0.5	0.0	0.0
3	p1	1.25	0.0	0.0
3	protein1	0.0	0.4	0.175
3	r1	0.1	0.0	0.0
3	rnapol	3.45	0.0	0.0
4	__protein1_rbs	0.45	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	84.45	0.0	0.0
4	__rnase_site_ext	1.25	0.0	0.0
4	p0	0.7	0.0	0.0
4	p1	0.7	0.0	0.0
4	protein1	0.0	0.7	0.375
4	protein2	0.0	0.1	0.1
4	r1	0.1	0.0	0.0
4	rnapol	2.0	0.0	0.0
5	__protein1_rbs	0.35	0.0	0.0
5	__protein2_rbs	0.1	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	128.75	0.0	0.0
5	__rnase_site_ext	1.45	0.0	0.0
5	p0	0.8	0.0	0.0
5	p1	1.3	0.0	0.0
5	protein1	0.0	1.0	0.95
5	protein2	0.0	0.1	0.1
5	r1	0.15	0.0	0.0
5	rnapol	3.3	0.0	0.0
6	__protein1_rbs	0.5	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	128.05	0.0	0.0
6	__rnase_site_ext	1.7	0.0	0.0
6	p0	0.85	0.0	0.0
6	p1	1.3	0.0	0.0
6	protein1	0.0	1.05	1.35833335
6	protein2	0.0	0.15	0.175
6	r1	0.2	0.0	0.0
6	rnapol	3.15	0.0	0.0
7	__protein1_rbs	0.4	0.0	0.0
7	__protein2_rbs	0.1	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	97.0	0.0	0.0
7	__rnase_site_ext	1.9	0.0	0.0
7	p0	0.8	0.0	0.0
7	p1	0.7	0.0	0.0
7	protein1	0.05	1.3	1.85833335
7	protein2	0.0	0.3	0.35
7	r1	0.35	0.0	0.0
7	rnapol	2.05	0.0	0.0
8	__protein1_rbs	0.5	0.0	0.0
8	__protein2_rbs	0.15	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	96.0	0.0	0.0
8	__rnase_site_ext	2.05	0.0	0.0
8	p0	0.9	0.0	0.0
8	p1	0.6	0.0	0.0
8	protein1	0.2	1.5	2.31666665
8	protein2	0.0	0.35	0.475
8	r1	0.35	0.0	0.0
