time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	r1	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	45.0	0.0	0.0
1	__rnase_site_ext	0.25	0.0	0.0
1	p0	0.05	0.0	0.0
1	r1	0.0	0.0	0.0
1	rnapol	1.35	0.0	0.0
2	__protein1_rbs	0.15	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	55.0	0.0	0.0
2	__rnase_site_ext	0.5	0.0	0.0
2	p0	0.25	0.0	0.0
2	protein1	0.0	0.15	0.0
2	r1	0.0	0.0	0.0
2	rnapol	1.55	0.0	0.0
3	__protein1_rbs	0.05	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	124.7	0.0	0.0
3	__rnase_site_ext	0.6	0.0	0.0
3	p0	0.4	0.0	0.0
3	protein1	0.0	0.35	0.3
3	r1	0.0	0.0	0.0
3	rnapol	3.55	0.0	0.0
4	__protein1_rbs	0.1	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	134.3	0.0	0.0
4	__rnase_site_ext	1.05	0.0	0.0
4	p0	0.45	0.0	0.0
4	protein1	0.0	0.5	inf
4	r1	0.0	0.0	0.0
4	rnapol	3.65	0.0	0.0
5	__protein1_rbs	0.25	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	88.65	0.0	0.0
5	__rnase_site_ext	1.35	0.0	0.0
5	p0	0.8	0.0	0.0
5	protein1	0.0	0.85	inf
5	r1	0.0	0.0	0.0
5	rnapol	2.15	0.0	0.0
6	__protein1_rbs	0.35	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	147.85	0.0	0.0
6	__rnase_site_ext	1.55	0.0	0.0
6	p0	0.6	0.0	0.0
6	protein1	0.0	1.3	1.4
6	r1	0.0	0.0	0.0
6	rnapol	3.65	0.0	0.0
7	__protein1_rbs	0.6	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	97.0	0.0	0.0
7	__rnase_site_ext	1.9	0.0	0.0
7	p0	0.7	0.0	0.0
7	protein1	0.05	1.45	1.9
7	r1	0.0	0.0	0.0
7	rnapol	1.85	0.0	0.0
8	__protein1_rbs	0.55	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	96.0	0.0	0.0
8	__rnase_site_ext	2.25	0.0	0.0
8	p0	0.75	0.0	0.0
8	protein1	0.25	1.8	2.1333334
8	r1	0.0	0.0	0.0
8	rnapol	1.6	0.0	0.0
9	__protein1_rbs	1.0	0.0	0.0
9	__protein2_rbs	0.0	0.0	0.0
9	__protein3_rbs	0.0	0.0	0.0
9	__ribosome	95.3	0.0	0.0
9	__rnase_site_ext	2.3	0.0	0.0
9	p0	0.9	0.0	0.0
9	protein1	0.6	2.05	2.3083332999999997
9	r1	0.05	0.0	0.0
9	rnapol	1.5	0.0	0.0
10	__protein1_rbs	0.7	0.0	0.0
10	__protein2_rbs	0.05	0.0	0.0
