time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p1	1.0	0.0	0.0
0	p2	1.0	0.0	0.0
0	r0	0.0	0.0	0.0
0	r1	0.0	0.0	0.0
0	r2	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	100.0	0.0	0.0
1	__rnase_site_ext	2.0	0.0	0.0
1	p0	0.2	0.0	0.0
1	p1	1.0	0.0	0.0
1	p2	0.0	0.0	0.0
1	r0	0.6	0.0	0.0
1	r1	0.0	0.0	0.0
1	r2	0.0	0.0	0.0
1	rnapol	2.0	0.0	0.0
2	__protein1_rbs	0.2	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	99.8	0.0	0.0
2	__rnase_site_ext	2.6	0.0	0.0
2	p0	0.6	0.0	0.0
2	p1	1.0	0.0	0.0
2	p2	0.2	0.0	0.0
2	protein1	0.0	0.4	0.2
2	r0	1.0	0.0	0.0
2	r1	0.0	0.0	0.0
2	r2	0.0	0.0	0.0
2	rnapol	0.8	0.0	0.0
3	__protein1_rbs	0.6	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	99.2	0.0	0.0
3	__rnase_site_ext	3.6	0.0	0.0
3	p0	0.8	0.0	0.0
3	p1	1.0	0.0	0.0
3	p2	0.8	0.0	0.0
3	protein1	0.0	1.0	0.6
3	protein3	0.0	0.2	0.2
3	r0	1.4	0.0	0.0
3	r1	0.0	0.0	0.0
3	r2	0.0	0.0	0.0
3	rnapol	0.2	0.0	0.0
4	__protein1_rbs	0.4	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.4	0.0	0.0
4	__ribosome	97.4	0.0	0.0
4	__rnase_site_ext	3.6	0.0	0.0
4	p0	1.0	0.0	0.0
4	p1	1.0	0.0	0.0
4	p2	1.0	0.0	0.0
4	protein1	0.0	1.4	1.1
4	protein3	0.0	1.2	0.8
4	r0	1.6	0.0	0.0
4	r1	0.0	0.0	0.0
4	r2	0.0	0.0	0.0
4	rnapol	0.2	0.0	0.0
5	__protein1_rbs	0.8	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.6	0.0	0.0
5	__ribosome	95.2	0.0	0.0
5	__rnase_site_ext	3.6	0.0	0.0
5	p0	0.8	0.0	0.0
5	p1	1.0	0.0	0.0
5	p2	1.0	0.0	0.0
5	protein1	0.0	1.6	1.6
5	protein3	0.0	2.0	1.2
5	r0	1.6	0.0	0.0
5	r1	0.0	0.0	0.0
5	r2	0.0	0.0	0.0
5	rnapol	0.0	0.0	0.0
6	__protein1_rbs	0.4	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.6	0.0	0.0
6	__ribosome	93.0	0.0	0.0
6	__rnase_site_ext	3.8	0.0	0.0
6	p0	1.0	0.0	0.0
6	p1	1.0	0.0	0.0
6	p2	1.0	0.0	0.0
6	protein1	0.0	1.6	2.3
6	protein3	0.0	2.2	1.6333334000000002
6	r0	1.8	0.0	0.0
6	r1	0.0	0.0	0.0
6	r2	0.0	0.0	0.0
6	rnapol	0.0	0.0	0.0
7	__protein1_rbs	0.4	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
