time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p1	1.0	0.0	0.0
0	r1	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	30.0	0.0	0.0
1	__rnase_site_ext	0.2	0.0	0.0
1	p0	0.05	0.0	0.0
1	p1	0.3	0.0	0.0
1	r1	0.0	0.0	0.0
1	rnapol	0.9	0.0	0.0
2	__protein1_rbs	0.1	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	69.95	0.0	0.0
2	__rnase_site_ext	0.4	0.0	0.0
2	p0	0.3	0.0	0.0
2	p1	0.7	0.0	0.0
2	protein1	0.0	0.15	0.05
2	r1	0.0	0.0	0.0
2	rnapol	2.1	0.0	0.0
3	__protein1_rbs	0.1	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	79.75	0.0	0.0
3	__rnase_site_ext	0.45	0.0	0.0
3	p0	0.4	0.0	0.0
3	p1	0.8	0.0	0.0
3	protein1	0.0	0.3	0.25
3	r1	0.0	0.0	0.0
3	rnapol	2.35	0.0	0.0
4	__protein1_rbs	0.15	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	139.45	0.0	0.0
4	__rnase_site_ext	0.75	0.0	0.0
4	p0	0.5	0.0	0.0
4	p1	1.4	0.0	0.0
4	protein1	0.0	0.45	0.55
4	r1	0.0	0.0	0.0
4	rnapol	4.1	0.0	0.0
5	__protein1_rbs	0.1	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	104.0	0.0	0.0
5	__rnase_site_ext	0.9	0.0	0.0
5	p0	0.55	0.0	0.0
5	p1	1.05	0.0	0.0
5	protein1	0.0	0.6	0.95
5	r1	0.0	0.0	0.0
5	rnapol	2.85	0.0	0.0
6	__protein1_rbs	0.3	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	88.45	0.0	0.0
6	__rnase_site_ext	1.2	0.0	0.0
6	p0	0.75	0.0	0.0
6	p1	0.9	0.0	0.0
6	protein1	0.0	0.85	1.35
6	r1	0.05	0.0	0.0
6	rnapol	2.25	0.0	0.0
7	__protein1_rbs	0.3	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	147.8	0.0	0.0
7	__rnase_site_ext	1.55	0.0	0.0
7	p0	0.65	0.0	0.0
7	p1	1.5	0.0	0.0
7	protein1	0.0	1.1	1.7
7	protein2	0.0	0.05	0.05
7	r1	0.05	0.0	0.0
7	rnapol	3.8	0.0	0.0
8	__protein1_rbs	0.6	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	107.35	0.0	0.0
8	__rnase_site_ext	1.7	0.0	0.0
8	p0	0.7	0.0	0.0
8	p1	1.0	0.0	0.0
8	protein1	0.25	1.3	1.7
8	protein2	0.0	0.05	0.1
8	r1	0.05	0.0	0.0
8	rnapol	2.35	0.0	0.0
9	__protein1_rbs	0.55	0.0	0.0
9	__protein2_rbs	0.0	0.0	0.0
