time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p2	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	55.0	0.0	0.0
1	__rnase_site_ext	0.2	0.0	0.0
1	p0	0.1	0.0	0.0
1	p2	0.55	0.0	0.0
1	rnapol	1.65	0.0	0.0
2	__protein1_rbs	0.05	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	94.95	0.0	0.0
2	__rnase_site_ext	0.65	0.0	0.0
2	p0	0.45	0.0	0.0
2	p2	0.9	0.0	0.0
2	protein1	0.0	0.1	0.05
2	rnapol	2.8	0.0	0.0
3	__protein1_rbs	0.25	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.05	0.0	0.0
3	__ribosome	89.7	0.0	0.0
3	__rnase_site_ext	0.95	0.0	0.0
3	p0	0.55	0.0	0.0
3	p2	0.85	0.0	0.0
3	protein1	0.0	0.5	0.3
3	protein3	0.0	0.05	0.0
3	rnapol	2.45	0.0	0.0
4	__protein1_rbs	0.15	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.05	0.0	0.0
4	__ribosome	119.1	0.0	0.0
4	__rnase_site_ext	1.1	0.0	0.0
4	p0	0.7	0.0	0.0
4	p2	1.2	0.0	0.0
4	protein1	0.0	0.75	0.825
4	protein3	0.0	0.05	0.05
4	rnapol	3.25	0.0	0.0
5	__protein1_rbs	0.4	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.05	0.0	0.0
5	__ribosome	88.35	0.0	0.0
5	__rnase_site_ext	1.25	0.0	0.0
5	p0	0.75	0.0	0.0
5	p2	0.9	0.0	0.0
5	protein1	0.0	0.95	1.3
5	protein3	0.0	0.1	0.15
5	rnapol	2.15	0.0	0.0
6	__protein1_rbs	0.4	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.05	0.0	0.0
6	__ribosome	117.6	0.0	0.0
6	__rnase_site_ext	1.35	0.0	0.0
6	p0	0.8	0.0	0.0
6	p2	1.2	0.0	0.0
6	protein1	0.0	1.1	1.825
6	protein3	0.0	0.1	0.2
6	rnapol	2.95	0.0	0.0
7	__protein1_rbs	0.35	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	126.7	0.0	0.0
7	__rnase_site_ext	1.6	0.0	0.0
7	p0	0.7	0.0	0.0
7	p2	1.3	0.0	0.0
7	protein1	0.05	1.2	2.4
7	protein3	0.0	0.1	0.3
7	rnapol	3.0	0.0	0.0
8	__protein1_rbs	0.75	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	96.5	0.0	0.0
8	__rnase_site_ext	1.85	0.0	0.0
8	p0	0.65	0.0	0.0
8	p2	0.95	0.0	0.0
8	protein1	0.4	1.35	2.45
8	protein3	0.0	0.1	0.35
8	rnapol	1.75	0.0	0.0
9	__protein1_rbs	0.15	0.0	0.0
9	__protein2_rbs	0.0	0.0	0.0
9	__protein3_rbs	0.05	0.0	0.0
9	__ribosome	95.75	0.0	0.0
9	__rnase_site_ext	2.1	0.0	0.0
9	p0	0.75	0.0	0.0
