time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p1	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	60.0	0.0	0.0
1	__rnase_site_ext	0.25	0.0	0.0
1	p0	0.1	0.0	0.0
1	p1	0.55	0.0	0.0
1	rnapol	1.8	0.0	0.0
2	__protein1_rbs	0.05	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	79.95	0.0	0.0
2	__rnase_site_ext	0.7	0.0	0.0
2	p0	0.35	0.0	0.0
2	p1	0.7	0.0	0.0
2	protein1	0.0	0.1	0.05
2	rnapol	2.25	0.0	0.0
3	__protein1_rbs	0.25	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	99.65	0.0	0.0
3	__rnase_site_ext	0.85	0.0	0.0
3	p0	0.7	0.0	0.0
3	p1	0.95	0.0	0.0
3	protein1	0.0	0.5	0.3
3	protein2	0.0	0.05	0.05
3	rnapol	2.85	0.0	0.0
4	__protein1_rbs	0.25	0.0	0.0
4	__protein2_rbs	0.05	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	99.1	0.0	0.0
4	__rnase_site_ext	1.05	0.0	0.0
4	p0	0.7	0.0	0.0
4	p1	0.95	0.0	0.0
4	protein1	0.0	0.75	0.725
4	protein2	0.0	0.05	0.05
4	rnapol	2.7	0.0	0.0
5	__protein1_rbs	0.45	0.0	0.0
5	__protein2_rbs	0.05	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	108.6	0.0	0.0
5	__rnase_site_ext	1.3	0.0	0.0
5	p0	0.55	0.0	0.0
5	p1	1.1	0.0	0.0
5	protein1	0.0	0.85	1.075
5	protein2	0.0	0.1	0.15
5	rnapol	2.7	0.0	0.0
6	__protein1_rbs	0.3	0.0	0.0
6	__protein2_rbs	0.1	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	147.85	0.0	0.0
6	__rnase_site_ext	1.7	0.0	0.0
6	p0	0.65	0.0	0.0
6	p1	1.5	0.0	0.0
6	protein1	0.0	1.05	1.475
6	protein2	0.0	0.15	0.2
6	rnapol	3.65	0.0	0.0
7	__protein1_rbs	0.45	0.0	0.0
7	__protein2_rbs	0.05	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	96.9	0.0	0.0
7	__rnase_site_ext	1.85	0.0	0.0
7	p0	0.85	0.0	0.0
7	p1	1.0	0.0	0.0
7	protein1	0.05	1.45	1.7833333500000002
7	protein2	0.0	0.15	0.3
7	rnapol	2.05	0.0	0.0
8	__protein1_rbs	0.8	0.0	0.0
8	__protein2_rbs	0.1	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	96.45	0.0	0.0
8	__rnase_site_ext	2.0	0.0	0.0
8	p0	0.85	0.0	0.0
8	p1	1.0	0.0	0.0
8	protein1	0.3	1.65	1.9666667000000002
8	protein2	0.05	0.15	0.3
8	rnapol	1.85	0.0	0.0
9	__protein1_rbs	0.65	0.0	0.0
9	__protein2_rbs	0.1	0.0	0.0
9	__protein3_rbs	0.0	0.0	0.0
9	__ribosome	95.7	0.0	0.0
9	__rnase_site_ext	2.15	0.0	0.0
