time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p2	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	60.0	0.0	0.0
1	__rnase_site_ext	0.45	0.0	0.0
1	p0	0.05	0.0	0.0
1	p2	0.6	0.0	0.0
1	rnapol	1.75	0.0	0.0
2	__protein1_rbs	0.15	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	99.9	0.0	0.0
2	__rnase_site_ext	0.7	0.0	0.0
2	p0	0.35	0.0	0.0
2	p2	1.0	0.0	0.0
2	protein1	0.0	0.25	0.1
2	rnapol	2.8	0.0	0.0
3	__protein1_rbs	0.15	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	124.4	0.0	0.0
3	__rnase_site_ext	1.15	0.0	0.0
3	p0	0.45	0.0	0.0
3	p2	1.25	0.0	0.0
3	protein1	0.0	0.65	0.575
3	rnapol	3.35	0.0	0.0
4	__protein1_rbs	0.25	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	93.75	0.0	0.0
4	__rnase_site_ext	1.45	0.0	0.0
4	p0	0.7	0.0	0.0
4	p2	0.95	0.0	0.0
4	protein1	0.0	0.95	0.95
4	rnapol	2.3	0.0	0.0
5	__protein1_rbs	0.45	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	117.9	0.0	0.0
5	__rnase_site_ext	1.95	0.0	0.0
5	p0	0.45	0.0	0.0
5	p2	1.2	0.0	0.0
5	protein1	0.0	1.4	1.40833335
5	rnapol	2.45	0.0	0.0
6	__protein1_rbs	0.4	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	96.75	0.0	0.0
6	__rnase_site_ext	2.3	0.0	0.0
6	p0	0.7	0.0	0.0
6	p2	1.0	0.0	0.0
6	protein1	0.0	1.65	1.90416665
6	rnapol	1.6	0.0	0.0
7	__protein1_rbs	0.85	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	95.65	0.0	0.0
7	__rnase_site_ext	2.45	0.0	0.0
7	p0	0.9	0.0	0.0
7	p2	1.0	0.0	0.0
7	protein1	0.2	2.2	1.9041667000000002
7	rnapol	1.45	0.0	0.0
8	__protein1_rbs	0.75	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	94.35	0.0	0.0
8	__rnase_site_ext	2.7	0.0	0.0
8	p0	0.8	0.0	0.0
8	p2	1.0	0.0	0.0
8	protein1	0.45	2.4	2.325
8	rnapol	1.15	0.0	0.0
9	__protein1_rbs	0.75	0.0	0.0
9	__protein2_rbs	0.1	0.0	0.0
9	__protein3_rbs	0.0	0.0	0.0
9	__ribosome	93.2	0.0	0.0
9	__rnase_site_ext	2.85	0.0	0.0
9	p0	0.95	0.0	0.0
9	p2	1.0	0.0	0.0
9	protein1	1.05	2.55	2.6625
9	protein2	0.0	0.1	0.0
9	rnapol	1.05	0.0	0.0
10	__protein1_rbs	1.2	0.0	0.0
