time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p2	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.55	0.0	0.0
1	__ribosome	99.9	0.0	0.0
1	__rnase_site_ext	1.9	0.0	0.0
1	p0	0.1	0.0	0.0
1	p2	0.4	0.0	0.0
1	protein3	0.0	0.65	0.1
1	rnapol	1.1	0.0	0.0
2	__protein1_rbs	0.45	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.55	0.0	0.0
2	__ribosome	98.7	0.0	0.0
2	__rnase_site_ext	3.6	0.0	0.0
2	p0	0.65	0.0	0.0
2	p2	0.3	0.0	0.0
2	protein1	0.0	0.95	0.5
2	protein3	0.0	1.25	0.675
2	rnapol	0.0	0.0	0.0
3	__protein1_rbs	0.75	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.6	0.0	0.0
3	__ribosome	96.2	0.0	0.0
3	__rnase_site_ext	3.6	0.0	0.0
3	p0	0.95	0.0	0.0
3	p2	1.0	0.0	0.0
3	protein1	0.0	1.95	0.85
3	protein3	0.0	1.9	1.15
3	rnapol	0.0	0.0	0.0
4	__protein1_rbs	0.4	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.5	0.0	0.0
4	__ribosome	93.6	0.0	0.0
4	__rnase_site_ext	3.45	0.0	0.0
4	p0	1.0	0.0	0.0
4	p2	1.0	0.0	0.0
4	protein1	0.0	2.05	1.45
4	protein3	0.0	1.9	1.85
4	rnapol	0.0	0.0	0.0
5	__protein1_rbs	0.55	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.5	0.0	0.0
5	__ribosome	91.15	0.0	0.0
5	__rnase_site_ext	3.55	0.0	0.0
5	p0	1.0	0.0	0.0
5	p2	1.0	0.0	0.0
5	protein1	0.0	2.05	2.08333335
5	protein3	0.0	1.9	2.45
5	rnapol	0.0	0.0	0.0
6	__protein1_rbs	0.5	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.65	0.0	0.0
6	__ribosome	88.85	0.0	0.0
6	__rnase_site_ext	3.75	0.0	0.0
6	p0	0.55	0.0	0.0
6	p2	0.9	0.0	0.0
6	protein1	0.05	2.05	2.7666666500000003
6	protein3	0.15	1.9	2.95
6	rnapol	0.05	0.0	0.0
7	__protein1_rbs	0.5	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.75	0.0	0.0
7	__ribosome	87.3	0.0	0.0
7	__rnase_site_ext	4.65	0.0	0.0
7	p0	0.65	0.0	0.0
7	p2	0.75	0.0	0.0
7	protein1	0.5	2.05	3.3
7	protein3	0.7	2.05	3.0583333500000003
7	rnapol	0.1	0.0	0.0
8	__protein1_rbs	1.1	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.6	0.0	0.0
8	__ribosome	86.45	0.0	0.0
8	__rnase_site_ext	5.55	0.0	0.0
8	p0	0.25	0.0	0.0
8	p2	0.55	0.0	0.0
8	protein1	1.45	2.65	2.8291667
8	protein3	1.9	2.35	2.82500005
8	rnapol	0.15	0.0	0.0
9	__protein1_rbs	1.35	0.0	0.0
9	__protein2_rbs	0.0	0.0	0.0
9	__protein3_rbs	0.95	0.0	0.0
