time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	r1	0.0	0.0	0.0
0	r2	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	65.0	0.0	0.0
1	__rnase_site_ext	0.35	0.0	0.0
1	p0	0.15	0.0	0.0
1	r1	0.0	0.0	0.0
1	r2	0.0	0.0	0.0
1	rnapol	1.95	0.0	0.0
2	__protein1_rbs	0.15	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	124.9	0.0	0.0
2	__rnase_site_ext	0.85	0.0	0.0
2	p0	0.25	0.0	0.0
2	protein1	0.0	0.25	0.1
2	r1	0.0	0.0	0.0
2	r2	0.0	0.0	0.0
2	rnapol	3.5	0.0	0.0
3	__protein1_rbs	0.2	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	109.55	0.0	0.0
3	__rnase_site_ext	1.35	0.0	0.0
3	p0	0.6	0.0	0.0
3	protein1	0.0	0.6	0.425
3	r1	0.0	0.0	0.0
3	r2	0.0	0.0	0.0
3	rnapol	2.7	0.0	0.0
4	__protein1_rbs	0.4	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	98.7	0.0	0.0
4	__rnase_site_ext	1.7	0.0	0.0
4	p0	0.9	0.0	0.0
4	protein1	0.0	1.25	inf
4	r1	0.0	0.0	0.0
4	r2	0.0	0.0	0.0
4	rnapol	2.25	0.0	0.0
5	__protein1_rbs	0.7	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	97.75	0.0	0.0
5	__rnase_site_ext	2.0	0.0	0.0
5	p0	0.7	0.0	0.0
5	protein1	0.0	1.6	inf
5	r1	0.0	0.0	0.0
5	r2	0.0	0.0	0.0
5	rnapol	1.9	0.0	0.0
6	__protein1_rbs	0.8	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	96.65	0.0	0.0
6	__rnase_site_ext	2.2	0.0	0.0
6	p0	0.6	0.0	0.0
6	protein1	0.0	1.85	inf
6	r1	0.0	0.0	0.0
6	r2	0.0	0.0	0.0
6	rnapol	1.45	0.0	0.0
7	__protein1_rbs	0.65	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	95.4	0.0	0.0
7	__rnase_site_ext	2.55	0.0	0.0
7	p0	0.9	0.0	0.0
7	protein1	0.15	2.15	inf
7	r1	0.0	0.0	0.0
7	r2	0.0	0.0	0.0
7	rnapol	1.25	0.0	0.0
8	__protein1_rbs	1.3	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	94.45	0.0	0.0
8	__rnase_site_ext	2.75	0.0	0.0
8	p0	0.8	0.0	0.0
8	protein1	0.5	2.6	2.26666665
8	r1	0.1	0.0	0.0
8	r2	0.0	0.0	0.0
8	rnapol	0.95	0.0	0.0
9	__protein1_rbs	0.85	0.0	0.0
9	__protein2_rbs	0.05	0.0	0.0
9	__protein3_rbs	0.0	0.0	0.0
9	__ribosome	93.55	0.0	0.0
