time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	r2	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	75.0	0.0	0.0
1	__rnase_site_ext	0.4	0.0	0.0
1	p0	0.1	0.0	0.0
1	r2	0.0	0.0	0.0
1	rnapol	2.25	0.0	0.0
2	__protein1_rbs	0.15	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	104.95	0.0	0.0
2	__rnase_site_ext	0.8	0.0	0.0
2	p0	0.55	0.0	0.0
2	protein1	0.0	0.2	0.05
2	r2	0.0	0.0	0.0
2	rnapol	3.05	0.0	0.0
3	__protein1_rbs	0.25	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	89.5	0.0	0.0
3	__rnase_site_ext	1.3	0.0	0.0
3	p0	0.4	0.0	0.0
3	protein1	0.0	0.7	0.5
3	r2	0.0	0.0	0.0
3	rnapol	2.1	0.0	0.0
4	__protein1_rbs	0.3	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	128.65	0.0	0.0
4	__rnase_site_ext	1.65	0.0	0.0
4	p0	0.55	0.0	0.0
4	protein1	0.0	1.1	1.125
4	r2	0.0	0.0	0.0
4	rnapol	3.0	0.0	0.0
5	__protein1_rbs	0.55	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	97.65	0.0	0.0
5	__rnase_site_ext	2.0	0.0	0.0
5	p0	0.75	0.0	0.0
5	protein1	0.0	1.6	1.3083333000000001
5	r2	0.0	0.0	0.0
5	rnapol	1.85	0.0	0.0
6	__protein1_rbs	0.8	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	96.45	0.0	0.0
6	__rnase_site_ext	2.3	0.0	0.0
6	p0	0.9	0.0	0.0
6	protein1	0.0	1.95	1.8
6	r2	0.0	0.0	0.0
6	rnapol	1.7	0.0	0.0
7	__protein1_rbs	0.75	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	95.15	0.0	0.0
7	__rnase_site_ext	2.55	0.0	0.0
7	p0	0.7	0.0	0.0
7	protein1	0.0	2.2	2.19999995
7	r2	0.0	0.0	0.0
7	rnapol	1.35	0.0	0.0
8	__protein1_rbs	1.0	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	94.25	0.0	0.0
8	__rnase_site_ext	2.75	0.0	0.0
8	p0	0.9	0.0	0.0
8	protein1	0.5	2.5	2.3125
8	r2	0.0	0.0	0.0
8	rnapol	1.2	0.0	0.0
9	__protein1_rbs	0.95	0.0	0.0
9	__protein2_rbs	0.05	0.0	0.0
9	__protein3_rbs	0.0	0.0	0.0
9	__ribosome	93.0	0.0	0.0
9	__rnase_site_ext	2.95	0.0	0.0
9	p0	0.75	0.0	0.0
9	protein1	1.15	2.75	2.575
9	protein2	0.0	0.05	0.0
9	r2	0.0	0.0	0.0
9	rnapol	0.9	0.0	0.0
10	__protein1_rbs	0.75	0.0	0.0
