time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	r0	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	100.0	0.0	0.0
1	__rnase_site_ext	0.9	0.0	0.0
1	p0	0.25	0.0	0.0
1	r0	0.85	0.0	0.0
1	rnapol	2.85	0.0	0.0
2	__protein1_rbs	0.25	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	99.8	0.0	0.0
2	__rnase_site_ext	1.8	0.0	0.0
2	p0	0.25	0.0	0.0
2	protein1	0.0	0.45	0.2
2	r0	1.8	0.0	0.0
2	rnapol	2.1	0.0	0.0
3	__protein1_rbs	0.45	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	99.3	0.0	0.0
3	__rnase_site_ext	2.35	0.0	0.0
3	p0	0.2	0.0	0.0
3	protein1	0.0	1.0	0.675
3	r0	2.25	0.0	0.0
3	rnapol	1.25	0.0	0.0
4	__protein1_rbs	0.55	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	97.8	0.0	0.0
4	__rnase_site_ext	2.95	0.0	0.0
4	p0	0.4	0.0	0.0
4	protein1	0.0	1.95	1.125
4	r0	2.85	0.0	0.0
4	rnapol	0.65	0.0	0.0
5	__protein1_rbs	0.9	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	96.35	0.0	0.0
5	__rnase_site_ext	3.45	0.0	0.0
5	p0	0.4	0.0	0.0
5	protein1	0.0	2.6	1.4583333
5	r0	3.35	0.0	0.0
5	rnapol	0.1	0.0	0.0
6	__protein1_rbs	1.0	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	94.4	0.0	0.0
6	__rnase_site_ext	3.6	0.0	0.0
6	p0	0.9	0.0	0.0
6	protein1	0.0	3.15	1.7916667500000003
6	r0	3.6	0.0	0.0
6	rnapol	0.0	0.0	0.0
7	__protein1_rbs	1.8	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	92.7	0.0	0.0
7	__rnase_site_ext	3.5	0.0	0.0
7	p0	1.0	0.0	0.0
7	protein1	0.2	3.6	2.0958333500000004
7	r0	3.5	0.0	0.0
7	rnapol	0.0	0.0	0.0
8	__protein1_rbs	1.2	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	90.55	0.0	0.0
8	__rnase_site_ext	3.35	0.0	0.0
8	p0	1.0	0.0	0.0
8	protein1	0.75	3.5	2.77916665
8	r0	3.35	0.0	0.0
8	rnapol	0.0	0.0	0.0
9	__protein1_rbs	1.0	0.0	0.0
9	__protein2_rbs	0.1	0.0	0.0
9	__protein3_rbs	0.0	0.0	0.0
9	__ribosome	89.6	0.0	0.0
9	__rnase_site_ext	3.3	0.0	0.0
9	p0	1.0	0.0	0.0
9	protein1	1.85	3.45	3.0541666000000003
9	protein2	0.0	0.1	0.0
9	r0	3.3	0.0	0.0
9	rnapol	0.0	0.0	0.0
