time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	r0	0.0	0.0	0.0
0	r2	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	40.0	0.0	0.0
1	__rnase_site_ext	0.3	0.0	0.0
1	p0	0.15	0.0	0.0
1	r0	0.3	0.0	0.0
1	r2	0.0	0.0	0.0
1	rnapol	1.2	0.0	0.0
2	__protein1_rbs	0.05	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	119.95	0.0	0.0
2	__rnase_site_ext	0.7	0.0	0.0
2	p0	0.25	0.0	0.0
2	protein1	0.0	0.1	0.05
2	r0	0.65	0.0	0.0
2	r2	0.0	0.0	0.0
2	rnapol	3.55	0.0	0.0
3	__protein1_rbs	0.1	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	94.7	0.0	0.0
3	__rnase_site_ext	0.85	0.0	0.0
3	p0	0.6	0.0	0.0
3	protein1	0.0	0.3	0.3
3	r0	0.85	0.0	0.0
3	r2	0.0	0.0	0.0
3	rnapol	2.7	0.0	0.0
4	__protein1_rbs	0.4	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	104.35	0.0	0.0
4	__rnase_site_ext	1.0	0.0	0.0
4	p0	0.7	0.0	0.0
4	protein1	0.0	0.8	0.55
4	r0	0.95	0.0	0.0
4	r2	0.0	0.0	0.0
4	rnapol	2.9	0.0	0.0
5	__protein1_rbs	0.25	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	88.6	0.0	0.0
5	__rnase_site_ext	1.3	0.0	0.0
5	p0	0.75	0.0	0.0
5	protein1	0.0	0.85	inf
5	r0	1.3	0.0	0.0
5	r2	0.0	0.0	0.0
5	rnapol	2.15	0.0	0.0
6	__protein1_rbs	0.45	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	118.0	0.0	0.0
6	__rnase_site_ext	1.35	0.0	0.0
6	p0	0.75	0.0	0.0
6	protein1	0.0	1.15	inf
6	r0	1.35	0.0	0.0
6	r2	0.0	0.0	0.0
6	rnapol	2.85	0.0	0.0
7	__protein1_rbs	0.35	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	92.0	0.0	0.0
7	__rnase_site_ext	1.75	0.0	0.0
7	p0	0.7	0.0	0.0
7	protein1	0.1	1.4	inf
7	r0	1.7	0.0	0.0
7	r2	0.0	0.0	0.0
7	rnapol	1.85	0.0	0.0
8	__protein1_rbs	0.75	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	131.25	0.0	0.0
8	__rnase_site_ext	1.8	0.0	0.0
8	p0	0.85	0.0	0.0
8	protein1	0.2	1.6	inf
8	r0	1.8	0.0	0.0
8	r2	0.0	0.0	0.0
8	rnapol	2.9	0.0	0.0
9	__protein1_rbs	0.5	0.0	0.0
9	__protein2_rbs	0.0	0.0	0.0
9	__protein3_rbs	0.0	0.0	0.0
9	__ribosome	95.3	0.0	0.0
