time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p1	1.0	0.0	0.0
0	p2	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	95.0	0.0	0.0
1	__rnase_site_ext	0.9	0.0	0.0
1	p0	0.25	0.0	0.0
1	p1	0.8	0.0	0.0
1	p2	0.95	0.0	0.0
1	rnapol	2.75	0.0	0.0
2	__protein1_rbs	0.35	0.0	0.0
2	__protein2_rbs	0.1	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	104.8	0.0	0.0
2	__rnase_site_ext	1.65	0.0	0.0
2	p0	0.4	0.0	0.0
2	p1	1.0	0.0	0.0
2	p2	1.05	0.0	0.0
2	protein1	0.0	0.55	0.2
2	protein2	0.0	0.1	0.0
2	rnapol	2.4	0.0	0.0
3	__protein1_rbs	0.5	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	99.0	0.0	0.0
3	__rnase_site_ext	2.0	0.0	0.0
3	p0	0.5	0.0	0.0
3	p1	1.0	0.0	0.0
3	p2	0.9	0.0	0.0
3	protein1	0.0	1.1	0.725
3	protein2	0.0	0.2	0.2
3	rnapol	1.6	0.0	0.0
4	__protein1_rbs	0.25	0.0	0.0
4	__protein2_rbs	0.1	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	97.55	0.0	0.0
4	__rnase_site_ext	2.65	0.0	0.0
4	p0	0.55	0.0	0.0
4	p1	1.0	0.0	0.0
4	p2	1.0	0.0	0.0
4	protein1	0.0	1.5	1.475
4	protein2	0.0	0.25	0.3
4	rnapol	1.1	0.0	0.0
5	__protein1_rbs	0.75	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.1	0.0	0.0
5	__ribosome	96.0	0.0	0.0
5	__rnase_site_ext	3.05	0.0	0.0
5	p0	0.65	0.0	0.0
5	p1	1.0	0.0	0.0
5	p2	1.0	0.0	0.0
5	protein1	0.0	2.1	1.7250000000000003
5	protein2	0.0	0.3	0.55
5	protein3	0.0	0.1	0.0
5	rnapol	0.75	0.0	0.0
6	__protein1_rbs	0.8	0.0	0.0
6	__protein2_rbs	0.15	0.0	0.0
6	__protein3_rbs	0.05	0.0	0.0
6	__ribosome	94.4	0.0	0.0
6	__rnase_site_ext	3.2	0.0	0.0
6	p0	0.9	0.0	0.0
6	p1	1.0	0.0	0.0
6	p2	1.0	0.0	0.0
6	protein1	0.0	2.45	2.0791667
6	protein2	0.0	0.3	0.65
6	protein3	0.0	0.1	0.1
6	rnapol	0.65	0.0	0.0
7	__protein1_rbs	0.85	0.0	0.0
7	__protein2_rbs	0.05	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	92.25	0.0	0.0
7	__rnase_site_ext	3.45	0.0	0.0
7	p0	0.9	0.0	0.0
7	p1	1.0	0.0	0.0
7	p2	0.95	0.0	0.0
7	protein1	0.1	2.75	2.525
7	protein2	0.0	0.3	0.9
7	protein3	0.0	0.1	0.2
7	rnapol	0.5	0.0	0.0
8	__protein1_rbs	1.2	0.0	0.0
8	__protein2_rbs	0.1	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	91.5	0.0	0.0
8	__rnase_site_ext	3.65	0.0	0.0
