time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	r2	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	100.0	0.0	0.0
1	__rnase_site_ext	0.95	0.0	0.0
1	p0	0.25	0.0	0.0
1	r2	0.0	0.0	0.0
1	rnapol	2.65	0.0	0.0
2	__protein1_rbs	0.4	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	99.55	0.0	0.0
2	__rnase_site_ext	1.95	0.0	0.0
2	p0	0.05	0.0	0.0
2	protein1	0.0	0.8	inf
2	r2	0.0	0.0	0.0
2	rnapol	1.7	0.0	0.0
3	__protein1_rbs	0.8	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	98.8	0.0	0.0
3	__rnase_site_ext	2.75	0.0	0.0
3	p0	0.2	0.0	0.0
3	protein1	0.0	1.5	0.875
3	r2	0.0	0.0	0.0
3	rnapol	1.0	0.0	0.0
4	__protein1_rbs	0.6	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	97.2	0.0	0.0
4	__rnase_site_ext	3.35	0.0	0.0
4	p0	0.25	0.0	0.0
4	protein1	0.0	2.2	1.30833335
4	r2	0.0	0.0	0.0
4	rnapol	0.3	0.0	0.0
5	__protein1_rbs	1.15	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	95.4	0.0	0.0
5	__rnase_site_ext	3.75	0.0	0.0
5	p0	0.8	0.0	0.0
5	protein1	0.0	3.0	1.57083335
5	r2	0.0	0.0	0.0
5	rnapol	0.0	0.0	0.0
6	__protein1_rbs	1.3	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	92.95	0.0	0.0
6	__rnase_site_ext	3.65	0.0	0.0
6	p0	1.0	0.0	0.0
6	protein1	0.0	3.7	1.9166667000000002
6	r2	0.0	0.0	0.0
6	rnapol	0.0	0.0	0.0
7	__protein1_rbs	1.0	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	90.75	0.0	0.0
7	__rnase_site_ext	3.65	0.0	0.0
7	p0	1.0	0.0	0.0
7	protein1	0.4	3.65	2.5708334
7	r2	0.0	0.0	0.0
7	rnapol	0.0	0.0	0.0
8	__protein1_rbs	1.05	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	89.2	0.0	0.0
8	__rnase_site_ext	3.65	0.0	0.0
8	p0	1.0	0.0	0.0
8	protein1	1.2	3.65	2.9958333999999995
8	r2	0.0	0.0	0.0
8	rnapol	0.0	0.0	0.0
9	__protein1_rbs	1.4	0.0	0.0
9	__protein2_rbs	0.3	0.0	0.0
9	__protein3_rbs	0.0	0.0	0.0
9	__ribosome	88.45	0.0	0.0
9	__rnase_site_ext	3.55	0.0	0.0
9	p0	1.0	0.0	0.0
9	protein1	2.65	3.65	3.19166665
9	protein2	0.0	0.35	0.05
9	r2	0.0	0.0	0.0
9	rnapol	0.0	0.0	0.0
10	__protein1_rbs	1.0	0.0	0.0
