time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p2	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	95.0	0.0	0.0
1	__rnase_site_ext	0.85	0.0	0.0
1	p0	0.3	0.0	0.0
1	p2	0.85	0.0	0.0
1	rnapol	2.75	0.0	0.0
2	__protein1_rbs	0.35	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	104.85	0.0	0.0
2	__rnase_site_ext	1.35	0.0	0.0
2	p0	0.4	0.0	0.0
2	p2	0.95	0.0	0.0
2	protein1	0.0	0.5	0.15
2	rnapol	2.35	0.0	0.0
3	__protein1_rbs	0.2	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.05	0.0	0.0
3	__ribosome	99.0	0.0	0.0
3	__rnase_site_ext	2.1	0.0	0.0
3	p0	0.5	0.0	0.0
3	p2	1.0	0.0	0.0
3	protein1	0.0	1.0	0.8
3	protein3	0.0	0.1	0.05
3	rnapol	1.6	0.0	0.0
4	__protein1_rbs	0.6	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.1	0.0	0.0
4	__ribosome	97.85	0.0	0.0
4	__rnase_site_ext	2.75	0.0	0.0
4	p0	0.35	0.0	0.0
4	p2	1.0	0.0	0.0
4	protein1	0.0	1.7	1.175
4	protein3	0.0	0.25	0.15
4	rnapol	0.95	0.0	0.0
5	__protein1_rbs	0.95	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	96.3	0.0	0.0
5	__rnase_site_ext	3.2	0.0	0.0
5	p0	0.6	0.0	0.0
5	p2	1.0	0.0	0.0
5	protein1	0.0	2.25	1.46666665
5	protein3	0.0	0.25	0.4
5	rnapol	0.55	0.0	0.0
6	__protein1_rbs	0.65	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.05	0.0	0.0
6	__ribosome	94.15	0.0	0.0
6	__rnase_site_ext	3.5	0.0	0.0
6	p0	0.75	0.0	0.0
6	p2	1.0	0.0	0.0
6	protein1	0.05	2.8	1.91666665
6	protein3	0.0	0.25	0.5
6	rnapol	0.3	0.0	0.0
7	__protein1_rbs	1.0	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.05	0.0	0.0
7	__ribosome	91.75	0.0	0.0
7	__rnase_site_ext	3.55	0.0	0.0
7	p0	0.95	0.0	0.0
7	p2	1.0	0.0	0.0
7	protein1	0.05	3.3	2.30416675
7	protein3	0.0	0.25	0.7
7	rnapol	0.2	0.0	0.0
8	__protein1_rbs	0.85	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.05	0.0	0.0
8	__ribosome	90.0	0.0	0.0
8	__rnase_site_ext	3.65	0.0	0.0
8	p0	0.9	0.0	0.0
8	p2	1.0	0.0	0.0
8	protein1	0.7	3.3	3.0541667
8	protein3	0.05	0.25	0.85
8	rnapol	0.1	0.0	0.0
9	__protein1_rbs	1.3	0.0	0.0
9	__protein2_rbs	0.05	0.0	0.0
9	__protein3_rbs	0.05	0.0	0.0
9	__ribosome	89.15	0.0	0.0
9	__rnase_site_ext	3.9	0.0	0.0
